Designator,Mid X,Mid Y,Rotation,Layer
C1,139.9875,-97.425,0.0,top
C10,134.6375,-71.8,180.0,top
C11,134.6125,-73.45,180.0,top
C12,135.4,-76.0,270.0,top
C2,136.275,-95.625,0.0,top
C3,130.4,-78.0,0.0,top
C5,131.125,-76.4,180.0,top
C6,132.4625,-88.975,180.0,top
C7,131.2,-93.6875,90.0,top
C8,151.8125,-92.15,270.0,top
C9,153.4625,-92.15,270.0,top
D1,126.85,-81.35,0.0,top
D2,140.5,-107.175,90.0,top
D3,138.75,-107.2,90.0,top
J1,131.019417,-102.6,315.0,top
J2,161.691949,-107.25,0.0,top
J3,147.0,-106.085,0.0,top
L1,131.125,-74.7,0.0,top
L2,133.15,-93.55,270.0,top
R1,129.4625,-80.5125,270.0,top
R10,166.75,-76.6,180.0,top
R11,166.75,-74.94,180.0,top
R12,143.6625,-92.475,180.0,top
R13,132.4125,-90.675,0.0,top
R14,126.9125,-78.0,180.0,top
R15,126.9125,-79.6,0.0,top
R16,136.0625,-88.075,180.0,top
R17,134.5,-82.7,180.0,top
R18,159.3,-74.45,90.0,top
R19,134.4875,-81.1,0.0,top
R2,140.5,-103.6875,270.0,top
R20,159.6,-84.1,180.0,top
R21,133.7,-76.0125,90.0,top
R3,138.75,-103.6875,270.0,top
R4,145.0,-98.75,270.0,top
R5,149.6,-98.75,270.0,top
R6,136.275,-97.425,0.0,top
R7,166.7375,-79.94,180.0,top
R8,166.7375,-78.29,0.0,top
R9,141.6625,-88.125,180.0,top
SW1,126.73,-87.0,270.0,top
SW2,147.0,-87.5,0.0,top
U1,161.75,-101.75,180.0,top
U2,147.0,-95.2,270.0,top
U3,127.2625,-75.4,180.0,top
U4,138.1,-91.85,180.0,top
U5,156.0125,-91.7,270.0,top
U6,147.4625,-75.0,0.0,top
